"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050803","regulation of synapse structure or activity","305/10656","398/28928",0.766331658291457,2.08037182911555,16.5737071960316,1.17216608891653e-59,3.83181094466814e-56,1.14748890809723e-56,"29819/210933/20353/329165/18187/13838/210293/53972/19329/16560/226359/74117/14270/103967/93840/93842/19165/226778/22782/16798/17118/14360/216028/64451/216169/54712/108030/320150/13169/12323/66713/68585/20692/22416/216831/18208/77579/442801/13643/216856/13385/237868/18015/12569/11418/217124/56013/18013/53321/77097/18750/14674/217333/108100/170758/11852/80913/19878/238130/319504/238205/320772/11845/59036/20474/217692/19164/18222/399558/73086/11651/140580/68404/18003/94245/67252/20354/26564/56320/15387/18212/26556/17755/18708/554327/268709/71228/11843/22418/319476/12294/239027/14803/268747/18002/73181/19229/105689/76965/75409/76108/223254/22631/319613/13196/239528/14083/107831/11838/378937/57028/18693/58234/106042/11419/65079/27801/208643/13845/104156/16180/74143/545156/56637/207683/58998/16423/19876/11820/21844/16443/17356/21826/268932/22084/240057/26416/74762/22154/70530/19280/13640/56724/18189/16573/19877/12558/100042150/17919/225875/12631/72289/18190/396184/13728/226016/22359/19211/208922/20562/72832/73728/18011/227580/241263/99152/14810/171171/69601/66860/56508/241514/228357/53872/12064/18429/20614/433485/228836/19281/241770/57138/228880/19246/11538/192167/208188/26570/13175/72162/386750/20351/13636/11444/320747/76742/229715/56376/99633/13841/18391/269523/19266/15569/13131/16975/19268/107995/230775/13844/65945/13542/11603/14362/50791/19699/19744/12933/20563/319387/52398/19249/13602/117146/13048/19353/243725/73178/27205/19242/20617/14804/12386/13191/232227/22421/243548/16979/18430/259302/72895/269788/52163/22346/211187/381813/14812/19277/232560/22192/11816/18223/80749/233067/233071/259277/272381/72961/140919/20430/22215/11441/20450/18213/29875/70178/233489/56212/13631/12752/330662/210274/14182/211323/211134/26364/330814/212139/65114/12564/112405/244667/16412/14739/15898/58235/16154/20361/17999/21983/20616/64085/270190/20350/235604/13138/80987/12387/12361/14735/16728/245537/60367/27494/245666",305
"GO:0050807","regulation of synapse organization","299/10656","390/28928",0.766666666666667,2.08128128128128,16.417800794524,1.41283360981086e-58,3.07903538031447e-55,9.22059829560773e-56,"29819/210933/20353/329165/18187/13838/210293/53972/19329/16560/226359/74117/14270/103967/93840/93842/19165/226778/22782/16798/17118/14360/216028/64451/216169/54712/108030/320150/13169/12323/66713/68585/20692/22416/216831/18208/77579/442801/13643/216856/13385/237868/18015/12569/11418/217124/56013/18013/53321/77097/18750/14674/217333/108100/170758/11852/80913/19878/238130/319504/238205/320772/11845/59036/20474/217692/19164/18222/399558/73086/11651/140580/68404/18003/94245/67252/20354/26564/56320/15387/18212/26556/17755/18708/268709/71228/11843/22418/319476/12294/239027/14803/268747/18002/73181/19229/105689/76965/75409/76108/223254/22631/13196/239528/14083/107831/11838/378937/57028/58234/106042/11419/65079/27801/208643/13845/104156/16180/74143/545156/56637/207683/58998/16423/19876/11820/21844/16443/17356/21826/268932/22084/26416/74762/22154/70530/19280/13640/56724/18189/16573/19877/12558/100042150/17919/225875/12631/72289/18190/396184/13728/226016/22359/19211/208922/20562/72832/73728/18011/227580/241263/99152/14810/171171/69601/66860/56508/241514/228357/53872/12064/18429/20614/433485/228836/19281/241770/57138/228880/19246/11538/192167/208188/26570/13175/72162/386750/20351/13636/11444/320747/76742/229715/56376/99633/13841/18391/269523/19266/15569/13131/16975/19268/107995/230775/13844/65945/13542/11603/14362/50791/19699/19744/12933/20563/319387/52398/19249/13602/117146/13048/19353/243725/73178/27205/19242/20617/14804/12386/13191/232227/22421/243548/16979/18430/259302/72895/269788/52163/22346/211187/381813/14812/19277/232560/22192/11816/18223/80749/233067/233071/259277/272381/20430/22215/11441/20450/18213/29875/70178/233489/56212/13631/12752/330662/210274/14182/211323/211134/26364/330814/212139/65114/12564/112405/244667/16412/14739/15898/58235/16154/20361/17999/21983/20616/64085/270190/20350/235604/13138/80987/12387/12361/14735/16728/245537/60367/27494/245666",299
"GO:0099173","postsynapse organization","249/10656","314/28928",0.792993630573248,2.15275147759224,15.6843666307995,6.4935600954468e-54,6.06498512914731e-51,1.81624387632046e-51,"29819/20353/329165/18187/13838/210293/53972/16560/226359/74117/103967/70729/19165/226778/22782/16798/17118/14360/64451/216169/380684/13169/12323/66713/68585/11840/216831/380702/77579/442801/11443/216856/13385/12928/18015/12569/11418/217124/16400/56013/53321/50997/16416/77097/14674/217333/18164/108100/170758/80913/19878/238130/319504/11845/59036/268566/109711/217692/19164/18222/18191/399558/73086/19141/11651/11472/140580/18003/94245/26564/56320/15387/26556/17755/15550/268709/71228/11843/22418/239027/14803/268747/18002/19229/223254/14573/18163/13196/107831/11838/223666/18693/73340/58234/106042/11419/83945/14811/12929/65079/27801/13845/104156/16180/74143/13383/545156/14432/58998/11820/21844/16443/22350/17356/268932/22084/240057/106504/70530/19280/56724/18189/12558/17919/225875/20743/12631/18190/13728/226016/19211/208922/20411/73728/226180/18011/227580/14810/171171/66860/56508/241514/228357/75786/104418/53872/433485/57138/228880/19246/16776/192167/208188/26570/13175/72162/386750/13636/76742/56376/13841/18391/230235/19266/20404/16975/19268/329942/242687/13844/67830/13542/11603/50791/19699/19744/231134/12933/319387/231637/117146/12704/19894/13048/29816/14371/11461/19353/243725/73178/192198/19242/14804/22421/243547/243548/259302/269788/22346/243621/14812/232533/232560/232813/22192/11816/18223/80749/233071/243961/272381/71974/22215/11441/16001/18213/29875/70178/23859/56212/13631/330662/210274/16337/54126/14182/14272/70546/211134/212139/65114/244667/18186/16412/14739/54725/319477/270163/270190/81907/20350/80987/15185/12361/236915/94190/245537/83453/245684",249
"GO:0050767","regulation of neurogenesis","340/10656","485/28928",0.701030927835051,1.90309897526392,15.3170199695115,8.93672558786811e-51,5.31166471758925e-48,1.59065163573538e-48,"29819/70827/12168/17756/227292/98733/13838/20720/55927/18627/59041/74117/12767/12227/171469/12316/21960/63953/19130/22782/18845/17863/20393/15214/17118/21907/12484/13654/20869/114606/216190/17172/54712/53605/216344/74053/15364/16971/18016/13169/12323/13649/66713/14025/68585/76901/320027/94091/22416/22671/22368/18208/84653/13643/13385/216869/18015/103743/18121/217166/15114/11858/14580/17762/11421/108100/18109/15902/20666/18080/18755/15251/19164/18222/217715/192119/14634/20238/15904/20354/51791/56320/18212/21752/12950/13003/108138/17755/16195/71918/22418/12166/12159/27374/73181/14365/70086/19645/76965/13190/20356/17869/14083/14375/12257/22422/140570/58234/239667/65079/12724/71751/104156/67838/74143/15205/545156/56637/13490/19876/268902/21844/104015/13508/24001/21648/17356/13388/27279/224617/22084/20681/240057/22339/20807/66515/76441/19280/13640/17158/30948/12385/17919/17196/19697/28000/14297/77125/19211/14102/20562/319740/18742/18011/71653/22352/99152/18128/99412/16870/24136/14725/13392/228357/17242/53872/18508/12064/20732/54485/12010/214968/19262/12156/15901/13555/329559/11538/12162/12561/269397/723951/15213/665113/18759/20482/14359/20674/14173/229285/72162/17380/12904/12032/73940/16800/360213/20194/20360/76893/18129/229715/16842/19055/54673/68151/17096/56711/320790/13841/12017/69807/19266/13131/16975/242620/230674/19268/11426/433759/13844/56381/21938/70433/56717/69743/15206/22062/15208/20481/20346/19699/66993/19744/57434/65254/22629/14184/20563/16542/19712/52822/22241/50849/12704/18125/231672/13048/16885/13047/11423/76854/75788/74132/14254/17295/22413/319757/243743/19242/109880/14056/11921/20355/14461/18844/22421/20893/19016/67784/20315/16653/79362/232560/11816/269878/21803/18223/245886/20430/244058/18213/11595/269951/108071/14366/233489/23966/18479/17760/16202/78748/11865/13631/17173/319583/320191/211323/18536/22341/97165/330790/18997/387216/71955/76527/76454/20539/244667/18186/16412/22601/16835/330914/57810/20660/21838/330938/235402/20361/320563/20320/26395/235472/20616/23873/20187/22041/23999/20350/13138/235611/54214/12387/67095/15185/12361/14168/14265/16728",340
"GO:0030900","forebrain development","332/10656","480/28928",0.691666666666667,1.87767767767768,14.8076302819593,1.53860269115267e-47,6.70625626317077e-45,2.00828140739928e-45,"18993/241062/18187/12912/13869/108147/12570/69080/77040/16560/14633/16324/226407/12767/14270/381290/12227/16565/12316/56207/21960/110648/98660/30928/19165/19130/14360/21907/11925/18541/13637/17172/213326/11783/327826/15364/54140/14632/18016/18293/22778/13649/72129/68585/14799/22416/20185/22187/77579/216850/11932/237847/12928/18015/12569/18121/217124/192157/19401/15114/12799/20606/170758/17977/15902/16777/20605/18080/15251/72338/319565/56217/19164/18222/14281/217734/192119/58208/668158/668303/207615/14634/16323/22151/73710/218194/15904/18014/15387/18212/67269/18548/13865/67263/14165/21974/218772/328365/22418/12166/12159/56335/21821/75409/13190/65100/110082/20356/666173/14042/76510/20607/223697/223701/22422/58234/67760/22408/239719/12929/65079/224045/12667/13845/20462/15205/268882/56637/68146/19876/268902/67102/11820/14450/17171/17356/30957/74762/18131/73242/20807/20359/19280/65960/11682/20473/21417/12558/225523/15531/14682/19091/19211/20562/74168/72832/226162/21416/13797/14810/18128/64930/69601/16870/24136/18227/21375/73668/14725/13392/545428/269295/17242/20511/18508/22174/12010/12156/18795/228662/24128/12995/13555/14601/20779/329559/16536/12918/14359/20674/14173/329628/26570/13175/70762/12032/11444/18072/22414/16491/16490/99512/210529/11924/16842/19218/252838/320790/433693/18507/18124/246179/14745/100182/18028/13131/16975/242620/20525/76574/18991/433759/93760/13844/22417/15565/70433/269610/22062/15208/20481/20346/19699/15563/21335/14184/15194/20563/19664/12425/231380/77630/231580/23790/16873/654470/30841/20602/19384/100609/77053/19353/14842/114142/319757/243743/14056/109648/11922/11921/68169/64704/13796/14461/18844/22421/18430/74244/20315/19305/14790/319352/16485/232440/16653/232906/232975/26362/18223/22177/11803/12028/16502/56847/11819/723968/18479/244152/233552/14183/57752/12176/20664/244329/320165/14182/320191/171167/211323/50768/18536/12367/16795/18032/58198/244667/18186/110350/11804/67703/57810/235180/15270/17967/330938/235380/20466/20361/235439/19378/19823/20187/81907/235626/12387/209012/14168/20675/192176/94190/18994/211612",332
"GO:0007416","synapse assembly","234/10656","304/28928",0.769736842105263,2.0896159317212,14.5848119948223,1.30053028794661e-46,5.00168648387938e-44,1.49782435639672e-44,"29819/210933/20353/14367/13869/210293/19329/226359/74117/14270/103967/226778/18845/16798/216028/54712/108030/13169/68585/108072/14799/22416/18208/442801/13643/216856/13385/12928/11418/217124/56013/17762/18750/14674/237979/217333/18164/170758/80913/238130/238205/320772/11845/20474/217692/18222/18191/399558/140580/20354/18212/17755/18708/554327/268709/71228/22418/319476/268747/18002/19229/219228/105689/76965/75409/76108/223254/14083/107831/378937/73340/18591/140570/58234/106042/11419/12929/65079/27801/208643/13845/16180/268882/56637/207683/14432/58998/19876/11820/13508/17356/21826/268932/74762/77596/19280/13640/56724/18189/12558/67453/100042150/225875/20743/225872/18190/396184/22359/19211/208922/20562/72832/73728/18011/227580/14810/171171/228357/53872/12064/18429/20614/433485/57138/19246/11538/228942/192167/208188/13175/386750/20351/11444/320747/229715/56376/99633/53378/13841/18391/19266/15569/329942/230775/13844/65945/13542/11603/14362/26875/50791/19699/12933/20563/246316/14405/14397/319387/19249/117146/13048/11423/243312/330222/19353/243725/192198/27205/243743/20617/14804/11519/18844/232227/22421/243548/16979/18430/259302/72895/269788/67784/211187/22192/18223/80749/233067/233071/272381/14407/110886/14402/20450/18213/29875/56212/13631/330662/210274/13642/14182/211323/70546/211134/330790/16795/26364/330814/212139/12286/65114/244682/14739/15898/67703/58235/54725/20320/17920/21983/64085/270190/12217/80987/235611/12387/14735/14168/16728/236915/13641/245537/60367/245666",234
"GO:0099003","vesicle-mediated transport in synapse","241/10656","317/28928",0.760252365930599,2.06386828468847,14.5447658812857,2.75611703033143e-46,1.00108295246149e-43,2.99788168211489e-44,"108664/116837/226407/20980/12290/103967/53330/12334/96935/16510/78808/74732/12484/11776/18717/20979/215449/74053/16971/12330/22318/216856/54189/13447/380714/216963/12569/71770/67300/72194/15114/11975/14824/16416/18750/11465/192662/20403/11845/94090/19164/18222/108800/12313/218038/94245/12890/74325/104069/75209/218503/27062/55946/238988/12289/219228/14169/66335/116838/76740/11838/105782/18693/66251/54526/59033/18951/11773/268882/207227/13490/11964/208650/13052/104015/16443/66616/20975/50873/11984/224617/23969/224671/66237/271457/12314/77057/18189/19877/12558/225326/30948/13367/240239/11777/12322/83814/80718/17919/171180/20743/54525/20908/67979/19211/12287/227700/30931/14299/13429/20910/227801/12298/56508/228545/20614/17957/433485/12048/241770/228983/192167/18805/229227/18441/20615/20912/73205/22249/14745/66290/20404/18786/72685/73094/69908/13858/66743/26562/15444/15552/65945/57320/67808/13542/26875/50791/13016/18196/11980/231290/69727/26414/26431/19894/56378/231760/13852/20907/215114/19085/11461/108086/19353/320405/27418/140494/109880/109648/69938/20617/52055/269774/19349/232227/22421/243547/74244/20965/111173/11973/18752/53420/381979/108124/12315/14809/16504/11771/72961/76787/140919/20430/64176/11778/20408/233489/18442/60510/110058/18751/269994/13446/69017/56216/20909/13017/13491/13642/64933/211323/12367/12725/110877/11966/19339/382018/17274/13859/18747/12286/65114/11972/234729/19341/13430/17999/208898/235504/17920/20616/12217/29873/12387/12361/20964/14265/54411/94190/245537/108012",241
"GO:0051963","regulation of synapse assembly","165/10656","208/28928",0.793269230769231,2.15349965349965,12.7500732116503,3.46981019710811e-36,4.826727461424e-34,1.44543045165086e-34,"29819/210933/20353/210293/19329/74117/14270/226778/16798/216028/108030/68585/22416/18208/442801/13643/216856/13385/11418/217124/56013/18750/14674/217333/170758/80913/238130/238205/320772/11845/20474/217692/18222/399558/140580/20354/18212/17755/18708/268709/71228/22418/319476/268747/18002/19229/105689/76965/75409/76108/223254/14083/107831/378937/106042/11419/65079/27801/208643/13845/16180/56637/207683/58998/19876/11820/17356/21826/268932/74762/19280/13640/56724/18189/100042150/225875/18190/396184/22359/208922/20562/72832/73728/18011/14810/171171/228357/12064/18429/20614/433485/57138/19246/11538/192167/208188/13175/386750/20351/11444/320747/229715/56376/99633/13841/18391/19266/15569/230775/13844/65945/11603/14362/12933/20563/319387/19249/117146/13048/19353/243725/27205/20617/14804/232227/22421/243548/16979/18430/259302/72895/269788/211187/22192/18223/80749/233067/233071/272381/20450/18213/29875/56212/13631/330662/14182/211323/211134/26364/330814/212139/65114/14739/15898/58235/21983/64085/270190/80987/12387/14735/16728/245537/60367/245666",165
"GO:0050769","positive regulation of neurogenesis","232/10656","332/28928",0.698795180722892,1.89702955968016,12.5539071604517,1.14261914533224e-34,1.38341555040411e-32,4.14282964974262e-33,"29819/12168/98733/13838/20720/59041/74117/12767/12316/22782/18845/17863/20393/17118/21907/13654/20869/114606/17172/54712/53605/216344/74053/16971/13169/12323/13649/66713/14025/68585/76901/22416/22671/22368/18208/13385/216869/18121/15114/11858/14580/17762/11421/108100/15902/20666/18080/18755/15251/18222/217715/192119/14634/20238/15904/20354/51791/56320/18212/12950/13003/108138/17755/16195/22418/27374/14365/76965/13190/20356/17869/14083/14375/12257/140570/58234/12724/71751/104156/74143/15205/545156/56637/19876/268902/21844/104015/13508/24001/17356/27279/224617/20681/22339/20807/66515/13640/17158/30948/17919/19697/28000/14297/77125/319740/18011/71653/22352/99152/18128/99412/24136/14725/17242/53872/18508/12064/20732/19262/12156/13555/329559/11538/12561/269397/723951/665113/18759/20482/14359/20674/14173/72162/17380/12904/12032/73940/18129/229715/54673/68151/17096/56711/12017/69807/19266/16975/242620/19268/11426/433759/13844/56381/21938/56717/22062/19699/66993/19744/57434/16542/52822/231672/13048/16885/13047/11423/76854/75788/14254/17295/22413/319757/243743/19242/109880/18844/19016/67784/20315/16653/232560/11816/269878/21803/18223/245886/20430/18213/11595/108071/14366/233489/23966/18479/17760/16202/78748/13631/319583/211323/22341/330790/18997/387216/71955/76527/76454/20539/244667/18186/16412/330914/57810/330938/20361/320563/20320/26395/20616/23873/22041/23999/13138/235611/54214/12387/67095/15185/12361/14265/16728",232
"GO:0097485","neuron projection guidance","190/10656","259/28928",0.733590733590734,1.99148955905713,12.2401718520494,3.84920264925756e-33,4.12558801981081e-31,1.23546452590493e-31,"20353/12168/18187/93691/12570/13838/14633/12767/269116/16876/16782/226519/16872/110648/93840/13800/21808/107449/53404/13654/11735/13637/57764/52666/16572/16971/53625/20564/22416/18208/77579/13643/237847/12569/18121/18053/13866/18612/170758/16777/14009/319504/399558/58208/14026/14634/73710/20354/107448/14451/19206/13723/22418/319476/14365/105689/14573/223435/20356/17181/14042/22422/16564/12805/54003/65079/13845/545156/20357/14432/11658/13840/13837/19876/268902/11820/13508/18209/30957/18131/14251/22339/20359/13640/19274/16772/16573/16774/353237/13367/20358/13176/17128/225743/108902/56839/20562/26456/226251/18128/23928/16870/16574/21375/14725/108699/19271/18508/12064/107515/214968/12162/13616/12561/16776/20351/13636/13638/13639/20360/11924/22253/12167/16911/68810/170822/13841/18124/230316/18028/230735/13844/15530/230857/70433/13542/11603/108151/20346/20348/19699/65254/20563/11787/22241/19353/231876/319757/243743/13848/14028/11921/20355/18844/108655/20315/211187/19277/232906/384569/22323/269878/20430/723968/20352/11785/13642/210801/18997/22152/18186/244682/19649/58235/114873/17967/20361/18007/235472/270190/20187/20347/20350/13138/107934/15185/17986/16728/13641/54004",190
"GO:0099175","regulation of postsynapse organization","151/10656","191/28928",0.790575916230366,2.14618807288964,12.1368955656628,6.41872236298814e-33,6.35842527412371e-31,1.90411859571897e-31,"29819/20353/329165/18187/13838/210293/53972/16560/74117/103967/19165/226778/22782/16798/17118/14360/216169/13169/12323/66713/68585/216831/442801/18015/12569/11418/217124/56013/77097/14674/217333/108100/170758/80913/238130/319504/59036/217692/19164/18222/399558/73086/11651/140580/18003/94245/26564/56320/15387/26556/17755/268709/11843/22418/239027/14803/268747/18002/19229/13196/11838/58234/106042/11419/65079/27801/16180/74143/545156/58998/11820/21844/16443/17356/268932/22084/70530/19280/56724/18189/12558/225875/12631/18190/13728/226016/19211/208922/73728/18011/14810/66860/56508/241514/228357/53872/433485/57138/228880/19246/192167/208188/13175/72162/13636/56376/13841/18391/19266/16975/19268/13844/13542/19699/19744/12933/117146/13048/19353/243725/73178/14804/22421/243548/259302/22346/14812/232560/22192/11816/18223/80749/233071/272381/22215/29875/70178/56212/13631/330662/210274/14182/211134/212139/65114/244667/14739/20350/80987/12361/245537",151
"GO:0007411","axon guidance","189/10656","258/28928",0.732558139534884,1.98868636077938,12.1817676000592,7.74518942695392e-33,7.55791768260071e-31,2.26332322610122e-31,"20353/12168/18187/93691/12570/13838/14633/12767/269116/16876/16782/226519/16872/110648/93840/13800/21808/107449/53404/13654/11735/13637/57764/52666/16572/16971/53625/20564/22416/18208/77579/13643/237847/12569/18121/18053/13866/18612/170758/16777/14009/319504/399558/58208/14026/14634/73710/20354/107448/14451/19206/13723/22418/319476/14365/105689/14573/223435/20356/17181/14042/22422/16564/12805/54003/65079/13845/545156/20357/14432/11658/13840/13837/19876/268902/11820/13508/18209/30957/18131/14251/22339/20359/13640/19274/16772/16573/16774/353237/13367/20358/13176/17128/225743/108902/56839/20562/26456/226251/18128/23928/16870/16574/21375/14725/108699/19271/18508/12064/107515/214968/12162/13616/12561/16776/20351/13636/13638/13639/20360/11924/22253/12167/16911/68810/170822/13841/18124/230316/18028/230735/13844/15530/230857/70433/13542/11603/108151/20346/20348/19699/65254/20563/11787/22241/19353/231876/319757/243743/13848/14028/11921/20355/108655/20315/211187/19277/232906/384569/22323/269878/20430/723968/20352/11785/13642/210801/18997/22152/18186/244682/19649/58235/114873/17967/20361/18007/235472/270190/20187/20347/20350/13138/107934/15185/17986/16728/13641/54004",189
"GO:0051402","neuron apoptotic process","261/10656","398/28928",0.655778894472362,1.78025261442347,11.9696552815333,1.24347683259807e-31,1.01623144144077e-29,3.04324593241105e-30,"12633/69660/69080/13838/18159/12835/208727/51800/12043/13798/12227/17970/11545/21808/26408/17863/18605/14360/56484/107449/93759/11540/12833/110532/216150/69754/17172/11783/114774/68212/216439/13198/16971/56351/13867/18148/15525/22187/216869/237868/18015/12569/18053/18673/14824/12921/11302/209027/112407/320772/20474/15251/13983/17187/19164/21809/211064/19141/11607/15220/18105/19766/104069/18212/21752/108138/14062/16195/21834/16531/14528/73181/12759/19229/19645/15558/70551/14573/66270/170719/19357/110862/223649/66168/22408/110213/72393/26404/19125/70186/56637/11820/16443/18546/50873/20656/18607/224619/240057/13163/12488/94185/74011/15516/22339/17685/19877/13653/93706/93707/15183/14815/72930/58801/100502841/26403/22340/14297/16452/14102/18742/11757/56876/14810/56086/20910/18227/11909/228361/17242/12064/22174/56461/12125/12048/277432/17865/78928/16500/12608/11538/16536/12918/18759/18706/14173/80890/50754/15191/18008/14466/14630/99526/12368/13841/12017/12804/18391/230103/18124/16476/100102/19268/19063/68943/12371/70433/56717/57320/22062/11603/14362/20817/57434/13799/14184/15194/22393/19017/16542/12704/18125/12123/30841/66593/14371/15505/319757/15258/109880/12366/20617/14804/68169/64704/70527/108073/74244/67784/13498/14433/21937/16653/18752/22192/170770/11816/80794/14809/21803/26362/112406/11652/14751/67605/78405/12028/19259/20450/109689/22228/16202/12752/12721/12176/15461/14082/12443/26400/319583/26889/80857/12367/12931/15368/50931/12286/18032/21672/20437/244579/17748/59016/11606/112405/18186/23988/13857/12282/23821/22687/11920/404194/14629/14775/12387/17986/11798/14265/14381/12705",261
"GO:0043523","regulation of neuron apoptotic process","223/10656","331/28928",0.673716012084592,1.82894677154496,11.5834029433128,9.78121132805243e-30,6.39495596628068e-28,1.91505821791342e-28,"12633/69660/13838/18159/208727/51800/12043/13798/12227/17970/11545/21808/17863/14360/56484/107449/93759/11540/216150/69754/17172/114774/68212/216439/13198/16971/13867/18148/22187/216869/237868/18015/12569/18053/18673/14824/12921/209027/112407/320772/20474/15251/13983/19164/21809/211064/19141/15220/18105/19766/104069/18212/21752/108138/14062/16195/16531/14528/73181/12759/19229/15558/14573/66270/170719/19357/223649/66168/22408/72393/26404/19125/56637/11820/16443/18546/50873/20656/18607/224619/240057/12488/74011/15516/22339/17685/19877/13653/93706/93707/15183/14815/72930/58801/26403/22340/14297/16452/14102/18742/11757/56876/14810/56086/20910/18227/11909/228361/17242/12064/22174/56461/12125/12048/277432/17865/16500/12608/11538/18759/18706/14173/80890/50754/15191/18008/14466/14630/12368/13841/12017/12804/18391/18124/16476/100102/19268/19063/68943/12371/70433/56717/57320/22062/11603/14362/20817/57434/13799/14184/15194/22393/19017/16542/18125/12123/30841/14371/15505/319757/15258/109880/12366/20617/14804/68169/70527/108073/74244/67784/21937/16653/18752/22192/170770/11816/80794/14809/26362/112406/14751/67605/78405/12028/19259/20450/109689/22228/16202/12752/12721/15461/12443/26400/319583/26889/80857/12367/12931/15368/50931/12286/18032/21672/244579/17748/59016/11606/112405/18186/23988/13857/12282/23821/22687/11920/404194/14629/12387/11798/14265/14381/12705",223
"GO:0050770","regulation of axonogenesis","138/10656","178/28928",0.775280898876405,2.10466646421703,11.2895857561359,1.31157740840252e-28,7.45660269229189e-27,2.23298304771505e-27,"70827/12168/17756/13838/59041/74117/21960/18845/338362/20869/54712/16971/13169/14025/68585/320027/22416/22368/18208/13643/18377/11858/17762/18080/217692/19164/217715/20354/56320/18212/17755/22418/16554/18040/76965/20356/14083/140570/239667/65079/13845/71751/224105/56637/19876/268902/21844/13508/24001/27279/22084/240057/22339/20807/19280/13640/12558/17919/17196/13728/14297/19211/20562/319740/71653/22352/99152/14810/99412/24136/108699/228357/241568/12064/214968/11538/12561/20482/229285/12904/360213/13636/20360/229715/13841/13131/11426/13844/70433/20346/20563/52822/22241/16885/11423/75788/74132/243743/109880/20355/18844/22421/67784/20315/19713/381979/232906/11816/269878/20430/244058/18213/233489/18479/17760/16202/75770/18997/12286/71955/244667/18186/330914/21838/330938/20361/320563/26395/20616/20187/23999/20350/235611/54214/67095/15185/14168/16728",138
"GO:0045664","regulation of neuron differentiation","176/10656","247/28928",0.712550607287449,1.93437161858214,11.2622906368457,2.97213659521414e-28,1.63292681172353e-26,4.89002571171897e-27,"320705/227292/12043/14633/74117/171469/12316/215378/240843/110648/18514/19130/15214/56484/21907/12484/11925/19205/21423/15353/114606/17172/216233/14561/74203/319922/14025/68585/22416/22671/387208/387150/18015/20304/67468/70834/18053/19014/18013/19401/20682/21858/170758/17977/18109/15902/20666/15375/50779/18222/192119/69952/58208/14634/12161/15904/18014/17755/12159/239102/668253/12934/13618/387609/208643/71751/104156/12053/74143/15205/56637/212547/11820/21844/18546/13388/30957/20681/18131/21815/11682/20473/21417/19877/225164/30948/21413/19211/16814/56392/18128/13392/18508/12064/27103/17005/12010/11552/12156/16449/13436/228839/12162/723951/15213/192167/13605/20674/14173/20319/16800/13638/210529/11924/13684/19218/242316/69807/214444/76804/13131/230674/16918/110351/17965/242748/56717/69743/22062/15208/19699/14184/11553/19712/12704/14357/22628/75104/19353/12389/11921/14461/243547/20315/19713/13498/20678/243937/723968/20408/233552/11785/64297/233812/20377/14182/67207/80857/18997/12317/58198/16373/11906/16412/94226/57810/13209/330938/66867/20466/12175/21406/68134/20675/14265/17954",176
"GO:0010976","positive regulation of neuron projection development","171/10656","241/28928",0.70954356846473,1.92620836604239,11.0263154880609,3.82513042879098e-27,1.96918919239649e-25,5.89701002697988e-26,"620393/29819/12633/20720/74117/19735/22782/52906/17118/14360/103199/54198/12484/53404/93759/19205/216166/16971/13169/12323/12808/66713/14025/216739/11932/18015/18103/18102/16400/18053/15114/14824/17762/20698/108100/16570/14226/80913/18760/11845/73710/26564/56320/15387/18212/11881/13803/22418/12159/50769/19229/223255/140570/12805/19385/74143/545156/13837/11504/21844/18546/100310872/21648/100040531/17356/22084/23969/18010/12305/71461/21770/18519/11682/18189/22240/13176/225849/13660/13728/22359/107765/56392/227541/269254/107746/69601/16403/18024/241514/17242/53872/12064/17005/11538/12162/723951/20257/192167/18759/72162/20713/229715/17096/252838/12801/19266/26563/16975/56401/13844/56717/13542/14362/15234/50791/19699/12492/13048/56430/76571/15507/71951/243725/17295/19242/208647/109880/14056/68169/16438/52163/19713/232560/232906/11816/245886/11771/19259/20430/16001/244058/18213/14159/29875/12877/18442/11785/64297/13631/101513/16150/14182/211323/23965/382056/74187/234593/11606/330863/244667/16412/13857/235180/19649/20320/69981/17973/23999/80987/12361/192176",171
"GO:0010977","negative regulation of neuron projection development","125/10656","160/28928",0.78125,2.12087087087087,10.8571665404674,1.32044938595807e-26,6.64084468107218e-25,1.98869300233361e-25,"26921/70827/17756/13838/64294/53972/241159/74117/21960/103967/23924/16971/170835/84035/14025/68585/320027/22416/18858/18208/13643/380711/237847/18053/14580/11845/19164/70369/94245/218203/20745/13865/19270/22418/668253/13132/20356/14083/16852/11512/239667/65079/15205/56637/13837/22084/240057/14972/14964/19280/13367/22240/17196/107351/19211/20562/16169/22352/64930/13427/269295/228357/12010/214968/19246/20257/192167/229285/360213/13636/20615/20360/76893/269473/66368/12395/13841/14745/13131/13844/70433/20346/12933/20563/52822/231474/231580/22241/63873/74132/20355/27369/14228/63872/11816/19158/22215/244058/23991/244152/16332/19347/233781/56216/101490/13642/244418/18186/270120/59035/19089/235106/21838/121021/56294/18007/209743/20187/20350/15185/331401/14168/192176/245537/54004",125
